name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
Nom_208 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Improvement,http://www.perdu.com,Fil BE,Tag1,false,Function331,1,3,
Nom_127 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Executive,http://www.perdu.com,Fil BE,Tag1,false,Function277,2,15,
Nom_506 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Improvement,http://www.perdu.com,Fil BE,Tag1,false,Function642,3,45,
Nom_303 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Sales,http://www.perdu.com,Fil BE,Tag1,false,Function366,4,81,
Nom_869 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function975,5,32,
Nom_460 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Executive,http://www.perdu.com,Fil BE,Tag1,false,Function889,6,67,
Nom_835 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Sales,http://www.perdu.com,Fil BE,Tag1,false,Function707,7,155,
Nom_932 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function614,8,32,
Nom_795 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function150,9,17,
Nom_459 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function492,10,46,
Nom_246 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function286,11,71,
Nom_637 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function931,12,74,
Nom_197 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function270,13,69,
Nom_436 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function721,14,100,
Nom_125 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Executive,http://www.perdu.com,Fil BE,Tag1,false,Function612,15,45,
Nom_229 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function203,16,30,
Nom_940 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function155,17,45,
Nom_864 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function206,18,46,
Nom_635 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function187,19,9,
Nom_783 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function634,20,30,
Nom_337 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function876,21,69,
Nom_569 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function792,22,46,
Nom_542 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function776,23,71,
Nom_959 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function340,24,46,
Nom_466 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Executive,http://www.perdu.com,Fil BE,Tag1,false,Function40,25,15,
Nom_789 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function217,26,46,
Nom_232 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Improvement,http://www.perdu.com,Fil BE,Tag1,false,Function561,27,3,
Nom_458 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function271,28,71,
Nom_598 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function881,29,74,
Nom_695 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function640,30,100,
Nom_71 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function430,31,46,
Nom_253 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function501,32,17,
Nom_49 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function824,33,9,
Nom_275 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function858,34,32,
Nom_292 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function516,35,54,
Nom_590 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function479,36,69,
Nom_759 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function381,37,74,
Nom_491 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function136,38,32,
Nom_757 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function451,39,58,
Nom_764 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Executive,http://www.perdu.com,Fil BE,Tag1,false,Function469,40,45,
Nom_122 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Innovation,http://www.perdu.com,Fil BE,Tag1,false,Function858,41,58,
Nom_56 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function638,42,46,
Nom_898 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function656,43,32,
Nom_136 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Operations,http://www.perdu.com,Fil BE,Tag1,false,Function526,44,71,
Nom_961 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Executive,http://www.perdu.com,Fil BE,Tag1,false,Function629,45,,
Nom_655 1,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Customer Care,http://www.perdu.com,Fil BE,Tag1,false,Function75,46,45,
